word,stem,morphemes
ezenképp,ezenképp,ADV
ezenképpen,ezenképpen,ADV
ezenkívül,ezenkívül,ADV
ezenközben,ezenközben,ADV
ezennel,ezennel,ADV
ezentúl,ezentúl,ADV
ezerszerte,ezerszerte,ADV
ezidáig,ezidáig,ADV
eztán,eztán,ADV
ezzel,ezzel,ADV
ezúton,ezúton,ADV
ezúttal,ezúttal,ADV
faluszerte,faluszerte,ADV
fejcsóválva,fejcsóválva,ADV
fejenként,fejenként,ADV
fel,fel,ADV
fel-alá,fel-alá,ADV
fel-le,fel-le,ADV
felerészben,felerészben,ADV
felette,felette,ADV
felettébb,felettébb,ADV
felfele,felfele,ADV
felfelé,felfelé,ADV
felibe,felibe,ADV
felibe-harmadába,felibe-harmadába,ADV
feljebb,feljebb,ADV
feljövet,feljövet,ADV
felmenet,felmenet,ADV
feltehetőleg,feltehetőleg,ADV
feltétlen,feltétlen,ADV
feltétlenül,feltétlenül,ADV
felváltva,felváltva,ADV
felül,felül,ADV
felülre,felülre,ADV
felülről,felülről,ADV
fene,fene,ADV
fenekestül,fenekestül,ADV
fenemód,fenemód,ADV
fenn,fenn,ADV
fennen,fennen,ADV
fennhangon,fennhangon,ADV
fennszóval,fennszóval,ADV
fent,fent,ADV
fentebb,fentebb,ADV
fentebbre,fentebbre,ADV
fentebbről,fentebbről,ADV
fentre,fentre,ADV
fentről,fentről,ADV
feszt,feszt,ADV
fizikailag,fizikailag,ADV
flottul,flottul,ADV
fogcsikorgatva,fogcsikorgatva,ADV
foghegyről,foghegyről,ADV
fogvacogva,fogvacogva,ADV
fogvicsorítva,fogvicsorítva,ADV
fogytán,fogytán,ADV
fokozottan,fokozottan,ADV
folytatólag,folytatólag,ADV
folytatólagosan,folytatólagosan,ADV
folyton,folyton,ADV
folyton-folyvást,folyton-folyvást,ADV
folyvást,folyvást,ADV
fordítva,fordítva,ADV
fordítva,fordítva,ADV
formailag,formailag,ADV
forte,forte,ADV
fortissimo,fortissimo,ADV
francos,francos,ADV
frissibe,frissibe,ADV
frissiben,frissiben,ADV
furamód,furamód,ADV
furcsamód,furcsamód,ADV
furtonfurt,furtonfurt,ADV
fusiban,fusiban,ADV
futtában,futtában,ADV
futólag,futólag,ADV
félbe-szerbe,félbe-szerbe,ADV
félig,félig,ADV
félig-meddig,félig-meddig,ADV
féligformán,féligformán,ADV
féloldalt,féloldalt,ADV
félvállra,félvállra,ADV
félvállról,félvállról,ADV
főként,főként,ADV
főképp,főképp,ADV
főképpen,főképpen,ADV
főleg,főleg,ADV
föl-le,föl-le,ADV
fölfele,fölfele,ADV
fölfelé,fölfelé,ADV
fölöttébb,fölöttébb,ADV
fölül,fölül,ADV
fölülre,fölülre,ADV
fölülről,fölülről,ADV
fönn,fönn,ADV
fönt,fönt,ADV
föntebb,föntebb,ADV
garmadával,garmadával,ADV
garral,garral,ADV
gazdátlan,gazdátlan,ADV
gazdátlanul,gazdátlanul,ADV
gombamód,gombamód,ADV
gondolomformán,gondolomformán,ADV
gondolomra,gondolomra,ADV
grátisz,grátisz,ADV
guggon,guggon,ADV
gyakorlatilag,gyakorlatilag,ADV
gyakorta,gyakorta,ADV
gyakrabban,gyakrabban,ADV
gyakran,gyakran,ADV
gyalog,gyalog,ADV
gyalogszerrel,gyalogszerrel,ADV
gyaníthatóan,gyaníthatóan,ADV
gyaníthatólag,gyaníthatólag,ADV
gyanútlan,gyanútlan,ADV
gyanútlanul,gyanútlanul,ADV
gyógyítólag,gyógyítólag,ADV
gyökeresen,gyökeresen,ADV
gátlólag,gátlólag,ADV
hogy,hogy,ADV
habókra,habókra,ADV
hagyatva,hagyatva,ADV
hajadonfőtt,hajadonfőtt,ADV
hajadonfővel,hajadonfővel,ADV
hajdan,hajdan,ADV
hajdanta,hajdanta,ADV
hajdanában,hajdanában,ADV
hajdanában-danában,hajdanában-danában,ADV
hajdanán,hajdanán,ADV
hajnaltájban,hajnaltájban,ADV
hajnaltájt,hajnaltájt,ADV
halkal,halkal,ADV
hallgatólagosan,hallgatólagosan,ADV
hallhatólag,hallhatólag,ADV
halomszámra,halomszámra,ADV
hamar,hamar,ADV
hamarabb,hamarabb,ADV
hamarjában,hamarjában,ADV
hamarosan,hamarosan,ADV
hamarost,hamarost,ADV
hamarább,hamarább,ADV
hanyatt,hanyatt,ADV
hanyatt-homlok,hanyatt-homlok,ADV
hanyatthomlok,hanyatthomlok,ADV
harmadjára,harmadjára,ADV
harmadkézből,harmadkézből,ADV
harmadnap,harmadnap,ADV
harmadízben,harmadízben,ADV
harmadíziglen,harmadíziglen,ADV
haránt,haránt,ADV
hasmánt,hasmánt,ADV
hasonlólag,hasonlólag,ADV
hasonmód,hasonmód,ADV
hasztalan,hasztalan,ADV
hasztalanul,hasztalanul,ADV
hatszemközt,hatszemközt,ADV
havonta,havonta,ADV
haza,haza,ADV
hazafele,hazafele,ADV
hazafelé,hazafelé,ADV
hazajövet,hazajövet,ADV
hazamenet,hazamenet,ADV
hazulról,hazulról,ADV
hazáig,hazáig,ADV
hegyibe,hegyibe,ADV
hegyire,hegyire,ADV
hegyén-hátán,hegyén-hátán,ADV
hellyel-közzel,hellyel-közzel,ADV
helybenhagyólag,helybenhagyólag,ADV
helyenként,helyenként,ADV
helyütt,helyütt,ADV
hermetice,hermetice,ADV
hetedíziglen,hetedíziglen,ADV
hetente,hetente,ADV
hevenyében,hevenyében,ADV
hevenyén,hevenyén,ADV
hevenyészve,hevenyészve,ADV
hihetetlen,hihetetlen,ADV
hihetetlenül,hihetetlenül,ADV
hipp-hopp,hipp-hopp,ADV
hirtelen,hirtelen,ADV
hirtelenjében,hirtelenjében,ADV
hirtelenében,hirtelenében,ADV
hivatalból,hivatalból,ADV
hivatva,hivatva,ADV
hiába,hiába,ADV
hogy,hogy,ADV
hogyan,hogyan,ADV
hogyhogy,hogyhogy,ADV
hogymint,hogymint,ADV
hol,hol,ADV
holnap,holnap,ADV
holnapután,holnapután,ADV
homlokegyenest,homlokegyenest,ADV
honn,honn,ADV
honnan,honnan,ADV
honnét,honnét,ADV
hosszan,hosszan,ADV
hosszant,hosszant,ADV
hosszasan,hosszasan,ADV
hosszában,hosszában,ADV
hova,hova,ADV
hová,hová,ADV
hozomra,hozomra,ADV
hozzávetőleg,hozzávetőleg,ADV
hun,hun,ADV
hányadán,hányadán,ADV
hárman,hárman,ADV
hátra,hátra,ADV
hátrafele,hátrafele,ADV
hátrafelé,hátrafelé,ADV
hátramenet,hátramenet,ADV
hátrább,hátrább,ADV
hátul,hátul,ADV
hátuljára,hátuljára,ADV
hátuljáról,hátuljáról,ADV
hátulra,hátulra,ADV
hátulról,hátulról,ADV
hébe-hóba,hébe-hóba,ADV
hébe-korba,hébe-korba,ADV
hétköznap,hétköznap,ADV
hétrét,hétrét,ADV
hókon,hókon,ADV
hőn,hőn,ADV
is,is,ADV
icike-picikét,icike-picikét,ADV
icipicit,icipicit,ADV
ide,ide,ADV
ide-oda,ide-oda,ADV
idebe,idebe,ADV
idebenn,idebenn,ADV
idebent,idebent,ADV
idebentre,idebentre,ADV
idebentről,idebentről,ADV
idefel,idefel,ADV
idefelé,idefelé,ADV
idefenn,idefenn,ADV
idefent,idefent,ADV
idefentről,idefentről,ADV
idefönn,idefönn,ADV
idefönt,idefönt,ADV
idehaza,idehaza,ADV
ideig,ideig,ADV
ideig-óráig,ideig-óráig,ADV
idejekorán,idejekorán,ADV
idejövet,idejövet,ADV
ideki,ideki,ADV
idekinn,idekinn,ADV
idekint,idekint,ADV
idekintről,idekintről,ADV
idele,idele,ADV
idelenn,idelenn,ADV
idelent,idelent,ADV
idelentről,idelentről,ADV
idestova,idestova,ADV
ideát,ideát,ADV
ideátra,ideátra,ADV
ideátról,ideátról,ADV
idáig,idáig,ADV
idébb,idébb,ADV
idébb-odább,idébb-odább,ADV
idén,idén,ADV
időközben,időközben,ADV
időnként,időnként,ADV
idővel,idővel,ADV
ifjonta,ifjonta,ADV
igazában,igazában,ADV
igazából,igazából,ADV
igazán,igazán,ADV
igen,igen,ADV
igen-igen,igen-igen,ADV
igencsak,igencsak,ADV
igenis,igenis,ADV
ihol,ihol,ADV
ily,ily,ADV
ilyen,ilyen,ADV
ilyenformán,ilyenformán,ADV
ilyenkor,ilyenkor,ADV
ilyenképpen,ilyenképpen,ADV
ilyentájban,ilyentájban,ADV
ilyentájt,ilyentájt,ADV
ilyeténképpen,ilyeténképpen,ADV
ilyformán,ilyformán,ADV
ilyképpen,ilyképpen,ADV
imette,imette,ADV
imetten,imetten,ADV
imigyen,imigyen,ADV
imitt,imitt,ADV
imitt-amott,imitt-amott,ADV
immár,immár,ADV
immáron,immáron,ADV
implicite,implicite,ADV
imént,imént,ADV
imígy,imígy,ADV
imígy-amúgy,imígy-amúgy,ADV
inaszakadtáig,inaszakadtáig,ADV
ingyen,ingyen,ADV
ingyért,ingyért,ADV
inkluzíve,inkluzíve,ADV
inkognitó,inkognitó,ADV
inkognitóban,inkognitóban,ADV
inkább,inkább,ADV
innen,innen,ADV
innen-amonnan,innen-amonnan,ADV
innen-onnan,innen-onnan,ADV
innentől,innentől,ADV
innét,innét,ADV
inspirálólag,inspirálólag,ADV
interurbán,interurbán,ADV
irdatlan,irdatlan,ADV
irgalmatlan,irgalmatlan,ADV
irgalmatlanul,irgalmatlanul,ADV
irtó,irtó,ADV
irtóra,irtóra,ADV
is,is,ADV
ismét,ismét,ADV
istenigazában,istenigazában,ADV
istenigazából,istenigazából,ADV
istentelen,istentelen,ADV
istentelenül,istentelenül,ADV
itt,itt,ADV
itt-ott,itt-ott,ADV
itthon,itthon,ADV
itten,itten,ADV
itthon,itthon,ADV
itthonra,itthonra,ADV
itthonról,itthonról,ADV
izgatólag,izgatólag,ADV
izibe,izibe{orth:substandard},ADV
iziben,iziben{orth:substandard},ADV
izromban,izromban,ADV
javarészben,javarészben,ADV
javarészt,javarészt,ADV
javában,javában,ADV
jelen,jelen,ADV
jelenleg,jelenleg,ADV
jobban,jobban,ADV
jobbhíján,jobbhíján{orth:substandard},ADV
jobbkézt,jobbkézt,ADV
jobboldalt,jobboldalt,ADV
jobbra,jobbra,ADV
jobbra-balra,jobbra-balra,ADV
jobbrább,jobbrább,ADV
jobbára,jobbára,ADV
jottányit,jottányit,ADV
juszt,juszt,ADV
jó,jó,ADV
jól,jól,ADV
játszva,játszva,ADV
jó,jó,ADV
jót,jót,ADV
jócskán,jócskán,ADV
jóformán,jóformán,ADV
jóindulatúlag,jóindulatúlag,ADV
jókat,jókat,ADV
jókor,jókor,ADV
jól,jól,ADV
jól-rosszul,jól-rosszul,ADV
jómúltkorában,jómúltkorában,ADV
jórészben,jórészben,ADV
jórészt,jórészt,ADV
jószerint,jószerint,ADV
jószerivel,jószerivel,ADV
jószerével,jószerével,ADV
jót,jót,ADV
jóval,jóval,ADV
jóváhagyólag,jóváhagyólag,ADV
jövet,jövet,ADV
jövet-menet,jövet-menet,ADV
jövőre,jövőre,ADV
kb.,körülbelül,ADV
ki,ki,ADV
kissé,kissé,ADV
kalaplevéve,kalaplevéve,ADV
karonfogva,karonfogva,ADV
karöltve,karöltve,ADV
kb.,körülbelül,ADV
kedvtelve,kedvtelve,ADV
kegyetlen,kegyetlen,ADV
kegyetlenül,kegyetlenül,ADV
keleten,keleten,ADV
keletnek,keletnek,ADV
keletre,keletre,ADV
keletről,keletről,ADV
kellőképp,kellőképp,ADV
kellőképpen,kellőképpen,ADV
kerek-perec,kerek-perec,ADV
kerekperec,kerekperec,ADV
keresztbe,keresztbe,ADV
keresztbe-kasba,keresztbe-kasba,ADV
keresztben,keresztben,ADV
keresztül-kasul,keresztül-kasul,ADV
kettecskén,kettecskén,ADV
ketten,ketten,ADV
kevésbé,kevésbé,ADV
kevéssé,kevéssé,ADV
ki-be,ki-be,ADV
kicsit,kicsit,ADV
kifejezetten,kifejezetten,ADV
kialakulóban,kialakulóban,ADV
kibaszott,kibaszott,ADV
kicsinyenként,kicsinyenként,ADV
kicsinyég,kicsinyég,ADV
kicsit,kicsit,ADV
kifejezetten,kifejezetten,ADV
kifele,kifele,ADV
kifelé,kifelé,ADV
kijjebb,kijjebb,ADV
kijózanítólag,kijózanítólag,ADV
kijövet,kijövet,ADV
kimenet,kimenet,ADV
kimondottan,kimondottan,ADV
kinn,kinn,ADV
kint,kint,ADV
kintebb,kintebb,ADV
kismértékben,kismértékben,ADV
kissé,kissé,ADV
kisvártatva,kisvártatva,ADV
kivilágos-kivirradtig,kivilágos-kivirradtig,ADV
kivirradtig,kivirradtig,ADV
kivált,kivált,ADV
kiváltképp,kiváltképp,ADV
kiváltképpen,kiváltképpen,ADV
kizárólag,kizárólag,ADV
korábban,korábban,ADV
korábbanra,korábbanra,ADV
korán,korán,ADV
koránra,koránra,ADV
koránt,koránt,ADV
korántsem,korántsem,ADV
kukkra,kukkra,ADV
kurtán-furcsán,kurtán-furcsán,ADV
kurva,kurva,ADV
kurvára,kurvára,ADV
kutyafuttában,kutyafuttában,ADV
később,később,ADV
kápé,kápé,ADV
kékre-zöldre,kékre-zöldre,ADV
kénytelen-kelletlen,kénytelen-kelletlen,ADV
kéretlen,kéretlen,ADV
kéretlenül,kéretlenül,ADV
kész,kész,ADV
készakarattal,készakarattal,ADV
készakarva,készakarva,ADV
készületlen,készületlen,ADV
készületlenül,készületlenül,ADV
késő,késő,ADV
később,később,ADV
későbben,későbben,ADV
későbbiekben,későbbiekben,ADV
későbbig,későbbig,ADV
későbbre,későbbre,ADV
későbbtől,későbbtől,ADV
későig,későig,ADV
későn,későn,ADV
későre,későre,ADV
kétfele,kétfele,ADV
kétfelé,kétfelé,ADV
kétfelől,kétfelől,ADV
kéthetente,kéthetente,ADV
kétoldalt,kétoldalt,ADV
kétrét,kétrét,ADV
kétségkívül,kétségkívül,ADV
kétségtelen,kétségtelen,ADV
kétségtelenül,kétségtelenül,ADV
kézen-közön,kézen-közön,ADV
kézről-kézre,kézről-kézre,ADV
kézzel-lábbal,kézzel-lábbal,ADV
kívül,kívül,ADV
kívül-belül,kívül-belül,ADV
kívülre,kívülre,ADV
kívülről,kívülről,ADV
kölcsönbe,kölcsönbe,ADV
könnyedébben,könnyedébben,ADV
könnyedén,könnyedén,ADV
könnyűszerrel,könnyűszerrel,ADV
körmeszakadtáig,körmeszakadtáig,ADV
körömszakadtig,körömszakadtig,ADV
körömszakadtáig,körömszakadtáig,ADV
körös-körül,körös-körül,ADV
körülbelül,körülbelül,ADV
közakarattal,közakarattal,ADV
közbe-közbe,közbe-közbe,ADV
közben,közben,ADV
közbevetőleg,közbevetőleg,ADV
közbül,közbül,ADV
közel,közel,ADV
közelbe,közelbe,ADV
közelben,közelben,ADV
közelebb,közelebb,ADV
közelebbre,közelebbre,ADV
közelebbről,közelebbről,ADV
közelesen,közelesen,ADV
közelmúltban,közelmúltban,ADV
közelre,közelre,ADV
közelről,közelről,ADV
közelítőleg,közelítőleg,ADV
központilag,központilag,ADV
köztudomásúlag,köztudomásúlag,ADV
közvetlen,közvetlen,ADV
közvetlenebbül,közvetlenebbül,ADV
közvetlenül,közvetlenül,ADV
közvetve,közvetve,ADV
középen,középen,ADV
középütt,középütt,ADV
külsőleg,külsőleg,ADV
külön,külön,ADV
külön,külön,ADV
külön-külön,külön-külön,ADV
