,word,regular,aggreg,multipl,order,iter
69,huszonegyedszerre,0,0,0,0,1
70,feleennyi,1,0,0,0,0
71,billomodszorra,0,0,0,0,1
72,három,1,0,0,0,0
73,ötven,1,0,0,0,0
74,hússzorta,0,0,1,0,0
75,harminckilencen,0,1,0,0,0
76,hetvenhetedszerre,0,0,0,0,1
77,nyolcvannégyen,0,1,0,0,0
78,soktrillárdadik,0,0,0,1,0
79,többtrillió,1,0,0,0,0
80,sokszázadik,0,0,0,1,0
81,ketten,0,1,0,0,0
82,rengeteg,1,0,0,0,0
83,ezerszerte,0,0,1,0,0
84,kétszerte,0,0,1,0,0
85,száz,1,0,0,0,0
86,kilencvennyolcadik,0,0,0,1,0
87,soktrilliomodik,0,0,0,1,0
88,milliárdan,0,1,0,0,0
89,billióan,0,1,0,0,0
90,ötszörte,0,0,1,0,0
91,soktrilliárdan,0,1,0,0,0
92,ugyanannyian,0,1,0,0,0
93,hány,1,0,0,0,0
94,sokezer,1,0,0,0,0
95,csomó,1,0,0,0,0
96,akárhányan,0,1,0,0,0
97,első,0,0,0,1,0
98,tizenegy,1,0,0,0,0
99,trilliárd,1,0,0,0,0
100,egyen,0,1,0,0,0
101,megannyian,0,1,0,0,0
102,sokan,0,1,0,0,0
103,feleannyian,0,1,0,0,0
104,hányan,0,1,0,0,0
105,századik,0,0,0,1,0
106,negyvenkettő,1,0,0,0,0
107,sokadszorra,0,0,0,0,1
108,egypár,1,0,0,0,0
109,százszorta,0,0,1,0,0
110,sokbilliárd,1,0,0,0,0
111,sokbilliomodik,0,0,0,1,0
112,trilliomodszorra,0,0,0,0,1
113,páran,0,1,0,0,0
114,harmincötödszörre,0,0,0,0,1
115,öt,1,0,0,0,0
116,nyolcvannégy,1,0,0,0,0
117,milliárdadszorra,0,0,0,0,1
118,sokszázan,0,1,0,0,0
119,valahányan,0,1,0,0,0
120,ahány,1,0,0,0,0
121,ötvennyolcadszorra,0,0,0,0,1
122,mindahány,1,0,0,0,0
123,hatvanketten,0,1,0,0,0
124,sehány,1,0,0,0,0
125,nyolcvanan,0,1,0,0,0
126,kétannyi,1,0,0,0,0
127,tengernyi,1,0,0,0,0
128,sokezredik,0,0,0,1,0
129,hatszorta,0,0,1,0,0
130,sokszáz,1,0,0,0,0
131,ötvenhét,1,0,0,0,0
132,miliószorta,0,0,1,0,0
133,hetvennyolcan,0,1,0,0,0
134,kettő,1,0,0,0,0
135,négy,1,0,0,0,0
136,ezer,1,0,0,0,0
137,huszonhat,1,0,0,0,0
138,másfelen,0,1,0,0,0
139,sokmillárdan,0,1,0,0,0
140,tizedik,0,0,0,1,0
141,tíz,1,0,0,0,0
142,ahányszorta,0,0,1,0,0
143,sokmillióan,0,1,0,0,0
144,nyolcvankettedszerre,0,0,0,0,1
145,ugyanennyi,1,0,0,0,0
146,harminc,1,0,0,0,0
147,ezredszerre,0,0,0,0,1
148,kétannyian,0,1,0,0,0
149,egypáran,0,1,0,0,0
150,többmillárdadik,0,0,0,1,0
151,sokbilliárdan,0,1,0,0,0
152,többtrilliomodik,0,0,0,1,0
153,kismillió,1,0,0,0,0
154,húszan,0,1,0,0,0
155,harminchatodik,0,0,0,1,0
156,kevesen,0,1,0,0,0
157,tízen,0,1,0,0,0
158,trilliomodik,0,0,0,1,0
159,félannyi,1,0,0,0,0
160,kismillióan,0,1,0,0,0
161,hetvenen,0,1,0,0,0
162,hatvanan,0,1,0,0,0
163,félannyian,0,1,0,0,0
164,nyolcadszorra,0,0,0,0,1
165,hányadszorra,0,0,0,0,1
166,kilencedik,0,0,0,1,0
167,négyszerte,0,0,1,0,0
168,nyolcvan,1,0,0,0,0
169,kevés,1,0,0,0,0
170,egy,1,0,0,0,0
171,kétszerte,0,0,1,0,0
172,húsz,1,0,0,0,0
173,sokezren,0,1,0,0,0
174,hárman,0,1,0,0,0
175,mindahányan,0,1,0,0,0
176,feleennyien,0,1,0,0,0
177,sokmilliárd,1,0,0,0,0
178,soktrillióan,0,1,0,0,0
179,hat,1,0,0,0,0
180,öten,0,1,0,0,0
181,ahányan,0,1,0,0,0
182,többszáz,1,0,0,0,0
183,hatvankilencedszerre,0,0,0,0,1
184,sokbillárdadik,0,0,0,1,0
185,előszörre,0,0,0,0,1
186,kilencvenharmadszorra,0,0,0,0,1
187,hétszerte,0,0,1,0,0
188,négyen,0,1,0,0,0
189,millió,1,0,0,0,0
190,többedik,0,0,0,1,0
191,kilencedszerre,0,0,0,0,1
192,harmincötödszörte,0,0,1,0,0
193,negyven,1,0,0,0,0
194,századszorra,0,0,0,0,1
195,hétszerte,0,0,1,0,0
196,negyedszerre,0,0,0,0,1
197,egynéhányan,0,1,0,0,0
198,kilenc,1,0,0,0,0
199,kilencvennyolcadszorta,0,0,1,0,0
200,ötvenen,0,1,0,0,0
201,nyolcvankilencedszerte,0,0,1,0,0
202,huszonharmadszorta,0,0,1,0,0
203,tizedszerre,0,0,0,0,1
204,billiószorta,0,0,1,0,0
205,sehányan,0,1,0,0,0
206,hetven,1,0,0,0,0
207,milliomodik,0,0,0,1,0
208,hányadik,0,0,0,1,0
209,sokbillió,1,0,0,0,0
210,tizenegyen,0,1,0,0,0
211,hatvan,1,0,0,0,0
212,többmillió,1,0,0,0,0
213,számosan,0,1,0,0,0
214,negyvenkettedik,0,0,0,1,0
215,másfélszerte,0,0,1,0,0
216,nyolcadszorra,0,0,0,0,1
217,ötödszörre,0,0,0,0,1
218,tízszerte,0,0,1,0,0
219,billárdadik,0,0,0,1,0
220,millárdszorta,0,0,1,0,0
221,trilliószorta,0,0,1,0,0
222,tizen,0,1,0,0,0
223,ezren,0,1,0,0,0
224,trilliárdadszorra,0,0,0,0,1
225,százmilióan,0,1,0,0,0
226,ötvenhetedszerte,0,0,1,0,0
227,ötvenheten,0,1,0,0,0
228,hatan,0,1,0,0,0
229,elsőre,0,0,0,0,1
230,hatodszorra,0,0,0,0,1
231,trilliárdan,0,1,0,0,0
232,hetvenkilenc,1,0,0,0,0
233,nyolcszorta,0,0,1,0,0
234,soktrillió,1,0,0,0,0
235,nyolcan,0,1,0,0,0
236,bárhányan,0,1,0,0,0
237,hetedszerre,0,0,0,0,1
238,milliárd,1,0,0,0,0
239,milliárdszorta,0,0,1,0,0
240,negyedik,0,0,0,1,0
241,ennyien,0,1,0,0,0
242,tengernyien,0,1,0,0,0
243,hetvenötödik,0,0,0,1,0
244,többezredik,0,0,0,1,0
245,harmadszorra,0,0,0,0,1
246,egyszerte,0,0,1,0,0
247,hányszorta,0,0,1,0,0
248,millárdadik,0,0,0,1,0
249,kilencvenhárman,0,1,0,0,0
250,valahány,1,0,0,0,0
251,negyvenen,0,1,0,0,0
252,sokszázezer,1,0,0,0,0
253,millióan,0,1,0,0,0
254,soktrilliárd,1,0,0,0,0
255,tizenkilencedik,0,0,0,1,0
256,hatodik,0,0,0,1,0
257,negyvenöten,0,1,0,0,0
258,négyszerte,0,0,1,0,0
259,rengetegen,0,1,0,0,0
260,billió,1,0,0,0,0
261,valahányadik,0,0,0,1,0
262,csomóan,0,1,0,0,0
263,sokszázezren,0,1,0,0,0
264,trillió,1,0,0,0,0
265,milliomodszorra,0,0,0,0,1
266,néhányan,0,1,0,0,0
267,akármennyien,0,1,0,0,0
268,százan,0,1,0,0,0
269,hanyadszorra,0,0,0,0,1
270,huszonhatan,0,1,0,0,0
271,sokbillióan,0,1,0,0,0
272,billiárdadszorra,0,0,0,0,1
273,annyi,1,0,0,0,0
274,édeskevesen,0,1,0,0,0
275,harmincadszorra,0,0,0,0,1
276,többszázadik,0,0,0,1,0
