word,stem,morphemes
hujja,hujja,UTT-INT
hujuju,hujuju,UTT-INT
hukk,hukk,UTT-INT
hupp,hupp,UTT-INT
hurrá,hurrá,UTT-INT
huss,huss,UTT-INT
háj,háj,UTT-INT
háthiszen,háthiszen,UTT-INT
hé,hé,UTT-INT
hí,hí,UTT-INT
hó,hó,UTT-INT
hó-rukk,hó-rukk,UTT-INT
hóha,hóha,UTT-INT
hórukk,hórukk,UTT-INT
hő,hő,UTT-INT
hőhe,hőhe,UTT-INT
hők,hők,UTT-INT
hú,hú,UTT-INT
húha,húha,UTT-INT
hű,hű,UTT-INT
hűha,hűha,UTT-INT
hü,hü,UTT-INT
hühühü,hühühü,UTT-INT
hüm,hüm,UTT-INT
igen,igen,UTT-INT
ihaj,ihaj,UTT-INT
ihaj-tyuhaj,ihaj-tyuhaj,UTT-INT
ihajla,ihajla,UTT-INT
illa,illa,UTT-INT
indulj,indulj,UTT-INT
ipiapacs,ipiapacs,UTT-INT
irgum-burgum,irgum-burgum,UTT-INT
isten-isten,isten-isten,UTT-INT
istenem,istenem,UTT-INT
istenfáját,istenfáját,UTT-INT
istenuccse,istenuccse,UTT-INT
iszkiri,iszkiri,UTT-INT
izé,izé,UTT-INT
ja,ja,UTT-INT
ja,ja,UTT-INT
jaj,jaj,UTT-INT
jaja,jaja,UTT-INT
jajaja,jajaja,UTT-INT
jelen,jelen,UTT-INT
jer,jer,UTT-INT
jersze,jersze,UTT-INT
jesszus,jesszus,UTT-INT
jesszusom,jesszusom,UTT-INT
juj,juj,UTT-INT
jujuj,jujuj,UTT-INT
jé,jé,UTT-INT
jézus,jézus,UTT-INT
jézusmária,jézusmária,UTT-INT
jézusom,jézusom,UTT-INT
jó,jó,UTT-INT
jóestét,jóestét,UTT-INT
jónapot,jónapot,UTT-INT
jóreggelt,jóreggelt,UTT-INT
jóutat,jóutat,UTT-INT
jóég,jóég,UTT-INT
jóéjszakát,jóéjszakát,UTT-INT
jóéjt,jóéjt,UTT-INT
jóétvágyat,jóétvágyat,UTT-INT
júj,júj,UTT-INT
kampec,kampec,UTT-INT
kampó,kampó,UTT-INT
kaput,kaput,UTT-INT
kirelejzumát,kirelejzumát,UTT-INT
kiskésit,kiskésit,UTT-INT
kontra,kontra,UTT-INT
krá,krá,UTT-INT
kukucs,kukucs,UTT-INT
kuss,kuss,UTT-INT
kusti,kusti,UTT-INT
kutyafáját,kutyafáját,UTT-INT
kérem,kérem,UTT-INT
kéremalássan,kéremalássan,UTT-INT
kéremszépen,kéremszépen,UTT-INT
kész,kész,UTT-INT
kívánok,kívánok,UTT-INT
kösz,kösz,UTT-INT
köszi,köszi,UTT-INT
köszike,köszike,UTT-INT
la,la,UTT-INT
la,la,UTT-INT
ládd,ládd,UTT-INT
lám,lám,UTT-INT
lárifári,lárifári,UTT-INT
lécci,lécci,UTT-INT
légyszi,légyszi,UTT-INT
légyszíves,légyszíves,UTT-INT
mars,mars,UTT-INT
matt,matt,UTT-INT
megládd,megládd,UTT-INT
mifene,mifene,UTT-INT
mindegy,mindegy,UTT-INT
mindenségit,mindenségit,UTT-INT
mizujs,mizujs,UTT-INT
moment,moment,UTT-INT
muszáj,muszáj,UTT-INT
na,na,UTT-INT
ni,ni,UTT-INT
no,no,UTT-INT
na,na,UTT-INT
na-na,na-na,UTT-INT
nahát,nahát,UTT-INT
nana,nana,UTT-INT
nanana,nanana,UTT-INT
naná,naná,UTT-INT
ne,ne,UTT-INT
nem,nem,UTT-INT
nemde,nemde,UTT-INT
nemjóját,nemjóját,UTT-INT
nemá,nemá,UTT-INT
nesze,nesze,UTT-INT
nesztek,nesztek,UTT-INT
ni,ni,UTT-INT
nimolé,nimolé,UTT-INT
nini,nini,UTT-INT
no,no,UTT-INT
nocsak,nocsak,UTT-INT
nofene,nofene,UTT-INT
nohiszen,nohiszen,UTT-INT
nohát,nohát,UTT-INT
nono,nono,UTT-INT
noná,noná,UTT-INT
nos,nos,UTT-INT
nosza,nosza,UTT-INT
nyugi,nyugi,UTT-INT
né,né,UTT-INT
ok,ok,UTT-INT
odasüss,odasüss,UTT-INT
oh,oh,UTT-INT
ohó,ohó,UTT-INT
ojjé,ojjé,UTT-INT
ok,ok,UTT-INT
oké,oké,UTT-INT
ps,ps,UTT-INT
pajtikám,pajtikám,UTT-INT
pardon,pardon,UTT-INT
passz,passz,UTT-INT
persze,persze,UTT-INT
pfi,pfi,UTT-INT
pfuj,pfuj,UTT-INT
pfű,pfű,UTT-INT
phű,phű,UTT-INT
pih,pih,UTT-INT
piha,piha,UTT-INT
pihenj,pihenj,UTT-INT
pissz,pissz,UTT-INT
piti,piti,UTT-INT
pitypalatty,pitypalatty,UTT-INT
ponciusát,ponciusát,UTT-INT
ps,ps,UTT-INT
pssz,pssz,UTT-INT
pszt,pszt,UTT-INT
punktum,punktum,UTT-INT
puszi,puszi,UTT-INT
pá,pá,UTT-INT
pápá,pápá,UTT-INT
pász,pász,UTT-INT
pöff,pöff,UTT-INT
rajt,rajt,UTT-INT
recece,recece,UTT-INT
recefice,recefice,UTT-INT
rendben,rendben,UTT-INT
rf,rf,UTT-INT
ripityom,ripityom,UTT-INT
roham,roham,UTT-INT
rohamra,rohamra,UTT-INT
rontom-bontom,rontom-bontom,UTT-INT
rosseb,rosseb,UTT-INT
ráb,ráb,UTT-INT
rézfánfütyülőjét,rézfánfütyülőjét,UTT-INT
sajnos,sajnos,UTT-INT
sanyi,sanyi,UTT-INT
sebaj,sebaj,UTT-INT
sej,sej,UTT-INT
sej-haj,sej-haj,UTT-INT
sic,sic,UTT-INT
sicc,sicc,UTT-INT
sipirc,sipirc,UTT-INT
slussz,slussz,UTT-INT
slussz-passz,slussz-passz,UTT-INT
slusszpassz,slusszpassz,UTT-INT
spuri,spuri,UTT-INT
ss,ss,UTT-INT
ssss,ssss,UTT-INT
ssz,ssz,UTT-INT
stimmt,stimmt,UTT-INT
stop,stop,UTT-INT
sz,sz,UTT-INT
szasz,szasz,UTT-INT
szasztok,szasztok,UTT-INT
szedtevette,szedtevette,UTT-INT
szentségit,szentségit,UTT-INT
szerbusz,szerbusz,UTT-INT
szervusz,szervusz,UTT-INT
szervusztok,szervusztok,UTT-INT
szevasz,szevasz,UTT-INT
szevasztok,szevasztok,UTT-INT
szia,szia,UTT-INT
sziasztok,sziasztok,UTT-INT
tak-tak,tak-tak,UTT-INT
tempó,tempó,UTT-INT
tente,tente,UTT-INT
teremburáját,teremburáját,UTT-INT
teremtette,teremtette,UTT-INT
teremtettét,teremtettét,UTT-INT
teremtuccse,teremtuccse,UTT-INT
teringette,teringette,UTT-INT
teringettét,teringettét,UTT-INT
tessék,tessék,UTT-INT
top,top,UTT-INT
topp,topp,UTT-INT
tyuhaj,tyuhaj,UTT-INT
tyuhaja,tyuhaja,UTT-INT
tyű,tyű,UTT-INT
tyűha,tyűha,UTT-INT
tá,tá,UTT-INT
tökjó,tökjó,UTT-INT
tökmindegy,tökmindegy,UTT-INT
uh,uh,UTT-INT
uccse,uccse,UTT-INT
uccu,uccu,UTT-INT
ugye,ugye,UTT-INT
uh,uh,UTT-INT
ujjé,ujjé,UTT-INT
ukk-mukk-fukk,ukk-mukk-fukk,UTT-INT
urambocsá,urambocsá,UTT-INT
uramfia,uramfia,UTT-INT
uramisten,uramisten,UTT-INT
uzsgyi,uzsgyi,UTT-INT
vaj,vaj,UTT-INT
vakapád,vakapád,UTT-INT
vau,vau,UTT-INT
vazze,vazze,UTT-INT
vazzer,vazzer,UTT-INT
vigyázat,vigyázat,UTT-INT
vigyázz,vigyázz,UTT-INT
világos,világos,UTT-INT
világos,világos,UTT-INT
viszlát,viszlát,UTT-INT
viszontlátásra,viszontlátásra,UTT-INT
vivát,vivát,UTT-INT
zu,zu,UTT-INT
á,á,UTT-INT
ácsi,ácsi,UTT-INT
áh,áh,UTT-INT
áhá,áhá,UTT-INT
állj,állj,UTT-INT
ámen,ámen,UTT-INT
áve,áve,UTT-INT
ácsi,ácsi,UTT-INT
áh,áh,UTT-INT
áhá,áhá,UTT-INT
áj,áj,UTT-INT
állj,állj,UTT-INT
ámen,ámen,UTT-INT
áve,áve,UTT-INT
éljen,éljen,UTT-INT
éljen,éljen,UTT-INT
éljen,éljen,UTT-INT
íme,íme,UTT-INT
ím,ím,UTT-INT
íme,íme,UTT-INT
ó,ó,UTT-INT
úgy,úgy,UTT-INT
úristen,úristen,UTT-INT
úristen,úristen,UTT-INT
úgy,úgy,UTT-INT
úgymond,úgymond,UTT-INT
úgyvan,úgyvan,UTT-INT
úristen,úristen,UTT-INT
úristen,úristen,UTT-INT
úristenit,úristenit,UTT-INT
üdv,üdv,UTT-INT
üdvözlet,üdvözlet,UTT-INT
üdvözlöm,üdvözlöm,UTT-INT
üdv,üdv,UTT-INT
ühüm,ühüm,UTT-INT
üdv,üdv,UTT-INT
üdvözlet,üdvözlet,UTT-INT
üdvözlöm,üdvözlöm,UTT-INT
ühüm,ühüm,UTT-INT
á,á,UTT-INT
ácsi,ácsi,UTT-INT
áh,áh,UTT-INT
áhá,áhá,UTT-INT
áj,áj,UTT-INT
állj,állj,UTT-INT
ámen,ámen,UTT-INT
ántiját,ántiját,UTT-INT
áve,áve,UTT-INT
éljen,éljen,UTT-INT
éljen,éljen,UTT-INT
ígyvan,ígyvan,UTT-INT
ím,ím,UTT-INT
íme,íme,UTT-INT
ó,ó,UTT-INT
úgymond,úgymond,UTT-INT
úristen,úristen,UTT-INT
úristenit,úristenit,UTT-INT
üdv,üdv,UTT-INT
üdv,üdv,UTT-INT
üdvözlet,üdvözlet,UTT-INT
üdvözlöm,üdvözlöm,UTT-INT
ühüm,ühüm,UTT-INT
